symbol,suffix
EXCELINFO,NS
EXIDEIND,NS
FACT,NS
FAGBEARING,NS
FAME,NS
FCH,NS
FCSSOFT,NS
FDC,NS
FEDERALBNK,NS
FIEMIND,NS
FINANTECH,NS
FINCABLES,NS
FINPIPE,NS
FIRSTLEASE,NS
FIRSTWIN,NS
FKONCO,NS
FORTIS,NS
FOSECOIND,NS
FOURSOFT,NS
FSL,NS
FTCPOF3YDV,NS
GEOJITBNPP,NS
GRABALALK,NS
HALONIX,NS
HEIDELBERG,NS
IFL,NS
INSECTICID,NS
JAICORPLTD,NS
JAINSTUDIO,NS
JAYAGROGN,NS
JAYBARMARU,NS
JAYNECOIND,NS
JAYSREETEA,NS
JBCHEPHARM,NS
JBFIND,NS
JBMA,NS
JENSONICOL,NS
JETAIRWAYS,NS
JINDALPHOT,NS
JINDALPOLY,NS
JINDALSAW,NS
JINDALSTEL,NS
JINDALSWHL,NS
JINDCOT,NS
JINDRILL,NS
JISLJALEQS,NS
JKCEMENT,NS
JKIL,NS
JKLAKSHMI,NS
JKPAPER,NS
JKTYRE,NS
JMCPROJECT,NS
JMFINANCIL,NS
JMTAUTOLTD,NS
JOCIL,NS
JPASSOCIAT,NS
JPHYDRO,NS
JSL,NS
JSWSTEEL,NS
JUBILANT,NS
JUNIORBEES,NS
JYOTHYLAB,NS
JYOTISTRUC,NS
KABRAEXTRU,NS
KAJARIACER,NS
KAKATCEM,NS
KALECONSUL,NS
KALINDEE,NS
KALPATPOWR,NS
KALSTEELS,NS
KAMATHOTEL,NS
KANORICHEM,NS
KANSAINER,NS
KARURVYSYA,NS
KAUSHALYA,NS
KAVVERITEL,NS
KBL,NS
KCP,NS
KCPSUGIND,NS
KEC,NS
KEI,NS
KERNEX,NS
KESARENT,NS
KESORAMIND,NS
KEYCORPSER,NS
KFA,NS
KGL,NS
KHANDSE,NS
KINETICMOT,NS
KIRIDYES,NS
KIRLOSOIL,NS
KKCL,NS
KLGSYSTEL,NS
KNRCON,NS
KOLTEPATIL,NS
KOPDRUGS,NS
KOTAKBANK,NS
LOTUSEYE,NS
MADHAV,NS
MIRZAINT,NS
OUDHSUG,NS
PRETAILDVR,NS
RPGCABLES,NS
SBIGETS,NS
SBT,NS
SHARIABEES,NS
SHREYANIND,NS
SOLARINDS,NS
TREADS,NS
VHL,NS
ZENSARTECH,NS
